option,description,class_name,file_path,granularity,メモ,LLM description,Description (copied from header or source code)
-called-value-propagation,Called Value Propagation,CalledValuePropagationPass,IPO/CalledValuePropagation.cpp,module,,高速化: 間接的にあり / サイズ: 状況依存。間接呼び出しに !callees メタデータ（呼び得る関数集合）を付与し、devirtualize・インライン化・分岐化など後続の間接呼び出し最適化を促進する。段階: 中（IPO/CGに関する解析がある程度進んだ後、devirtやインラインの材料にする）。,"This file implements a transformation that attaches !callees metadata to indirect call sites. For a given call site, the metadata, if present, indicates the set of functions the call site could possibly target at run-time. This metadata is added to indirect call sites when the set of possible targets can be determined by analysis and is known to be small. The analysis driving the transformation is similar to constant propagation and makes uses of the generic sparse propagation solver."
-callsite-splitting,Call-site splitting,CallSiteSplittingPass,Scalar/CallSiteSplitting.cpp,function,,高速化/サイズ縮小: 間接的（基盤整備）。CFGのcritical edgeを分割して中間ブロックを作り、後続のCFG変形や命令挿入（PHI簡約、最適化の安全な移動等）をやりやすくする。段階: 中（CFGがある程度整った後で、インライン/IPA最適化の前後に置くと効果が出やすい）。,"This file implements a transformation that tries to split a call-site to pass more constrained arguments if its argument is predicated in the control flow so that we can expose better context to the later passes (e.g, inliner, jump threading, or IPA-CP based function cloning, etc.). As of now we support two cases : (1) Try to a split call-site with constrained arguments, if any constraints on any argument can be found by following the single predecessors of the all site's predecessors. Currently this pass only handles call-sites with 2 predecessors. For example, in the code below, we try to split the call-site since we can predicate the argument(ptr) based on the OR condition. (2) We can also split a call-site based on constant incoming values of a PHI."
-canonicalize-aliases,Canonicalize aliases,CanonicalizeAliasesPass,Utils/CanonicalizeAliases.cpp,module,,高速化/サイズ: 間接的（正規化）。グローバルalias等の表現を正規形に揃えて、解析・最適化パスが扱いやすいIRにする（効果は後続パスの精度/安定性に出る）。段階: 前（IR整形・正規化として早めが有利）。,This file canonicalizes aliases.
-consthoist,Constant Hoisting,ConstantHoistingPass,Scalar/ConstantHoisting.cpp,function,,高速化: あり（特にコード生成寄り） / サイズ: 状況依存。高コストな整数定数の生成を基本ブロック間で共有・ホイストし、定数の再生成回数やレジスタ圧、マテリアライズ命令を減らしてコード生成を改善する。段階: 後（SelectionDAG等のコード生成を意識した“後段最適化/CodeGen準備”として効きやすい）。,"This pass identifies expensive constants to hoist and coalesces them to better prepare it for SelectionDAG-based code generation. This works around the limitations of the basic-block-at-a-time approach. First it scans all instructions for integer constants and calculates its cost. If the constant can be folded into the instruction (the cost is TCC_Free) or the cost is just a simple operation (TCC_BASIC), then we don't consider it expensive and leave it alone. This is the default behavior and the default implementation of getIntImmCostInst will always return TCC_Free. If the cost is more than TCC_BASIC, then the integer constant can't be folded into the instruction and it might be beneficial to hoist the constant. Similar constants are coalesced to reduce register pressure and materialization code. When a constant is hoisted, it is also hidden behind a bitcast to force it to be live-out of the basic block. Otherwise the constant would be just duplicated and each basic block would have its own copy in the SelectionDAG. The SelectionDAG recognizes such constants as opaque and doesn't perform certain transformations on them, which would create a new expensive constant. This optimization is only applied to integer constants in instructions and simple (this means not nested) constant cast expressions. For example: %0 = load i64* inttoptr (i64 big_constant to i64*)"
-constmerge,Merge Duplicate Global Constants,ConstantMergePass,IPO/ConstantMerge.cpp,module,,サイズ縮小: あり（主） / 高速化: 間接的。同一内容のグローバル定数（文字列や定数配列など）を1つに統合して重複を削減し、バイナリサイズを小さくする。段階: 後（グローバルが出揃った後のまとめ処理として有利）。,"This file defines the interface to a pass that merges duplicate global constants together into a single constant that is shared.  This is useful because some passes (ie TraceValues) insert a lot of string constants into the program, regardless of whether or not an existing string is available. Algorithm: ConstantMerge is designed to build up a map of available constants and eliminate duplicates when it is initialized."
-constprop,Simple constant propagation,,,unknown,,素朴な定数伝播?見つからず,
-coro-cleanup,Lower all coroutine related intrinsics,CoroCleanupPass,Coroutines/CoroCleanup.cpp,module,,高速化/サイズ: 間接的（変換の後処理）。コルーチン関連のintrinsicを最終形へ下げ切り、残ったコルーチンIR要素を整理して、通常の最適化/コード生成ができる状態にする。段階: 後（コルーチンloweringパイプラインの終盤）。,This file delcares a pass that lowers all remaining coroutine intrinsics.
-coro-early,Lower early coroutine intrinsics,CoroEarlyPass,Coroutines/CoroEarly.cpp,module,,高速化/サイズ: 間接的（変換の前処理）。コルーチンintrinsicのうち早期に展開すべきものを先にlowerし、後続の分割・フレーム構築・最適化がやりやすい形にする。段階: 前（コルーチン変換の入口側）。,This file provides the interface to the early coroutine intrinsic lowering pass. This pass lowers coroutine intrinsics that hide the details of the exact calling convention for coroutine resume and destroy functions and details of the structure of the coroutine frame.
-coro-elide,Coroutine frame allocation elision and indirect calls replacement,CoroElidePass,Coroutines/CoroElide.cpp,function,,高速化: あり。コルーチンフレームの動的確保を省略して alloca 化したり、llvm.coro.resume/destroy の間接呼び出しを直接呼び出しに置換してオーバーヘッドを削減する。段階: 中〜後（フレーム構造や分割が見えた後に効きやすい＝split後寄り）。,This file declares a pass that replaces dynamic allocation of coroutine frames with alloca and replaces calls to llvm.coro.resume and llvm.coro.destroy with direct calls to coroutine sub-functions.
-coro-split,Split coroutine into a set of functions driving its state machine,CoroSplitPass,Coroutines/CoroSplit,cgscc,,高速化/サイズ: 間接的（必須変換）。コルーチンフレームを構築し、resume/destroy 部分を別関数へアウトラインして状態機械化する中核変換。以後の最適化（DCE/インライン/CFG簡約等）が可能になる。段階: 中（コルーチンloweringの本体）。,This file declares the pass that builds the coroutine frame and outlines the resume and destroy parts of the coroutine into separate functions.
-correlated-propagation,Value Propagation,CorrelatedValuePropagationPass,Scalar/CorrelatedValuePropagation.cpp,function,,高速化/サイズ縮小: あり。分岐条件との相関（「この分岐内では x はこの範囲」等）を使って比較や分岐を簡約し、到達不能経路を増やして simplifycfg やDCEを促進する。段階: 中（CFGがそれなりに整ってきた段階で効きやすいが、cleanupとして繰り返し入ることもある）。,This file implements the Correlated Value Propagation pass.
-cross-dso-cfi,Cross-DSO CFI,CrossDSOCFIPass,IPO/CrossDSOCFI.cpp,module,,対象外（主目的はセキュリティ）。cross-DSOのCFI検証のため、llvm.bitset 群から __cfi_check を生成するなど、間接呼び出しの正当性検証を可能にする。段階: 最適化段階というより 後（機能有効時のコード生成準備・保護付与）。,"This pass exports all llvm.bitset's found in the module in the form of a __cfi_check function, which can be used to verify cross-DSO call targets."
-dce,Dead Code Elimination,DCEPass,Scalar/DCE.cpp,function,,高速化/サイズ縮小: あり。結果が使われず副作用のない命令を削除し、削除によって新たに不要になった命令も連鎖的に消す基本DCE。段階: 後（多くの変換の後処理として有効。中盤でも随時挟まれることはあるが、評価としては後段cleanup）。,"Dead Inst Elimination performs a single pass over the function removing instructions that are obviously dead.  Dead Code Elimination is similar, but it rechecks instructions that were used by removed instructions to see if they are newly dead."
-deadargelim,Dead Argument Elimination,DeadArgumentEliminationPass,IPO/DeadArgumentElimination.cpp,module,,高速化/サイズ縮小: あり。使われない引数・戻り値を関数定義/呼び出し側ごと削除して、引数受け渡しや不要計算を除去する（内部関数で特に有効）。段階: 後（IPOやインライン等で“不要が確定した後”のクリーンアップに向く）。,"This pass deletes dead arguments from internal functions.  Dead argument elimination removes arguments which are directly dead, as well as arguments only passed into function calls as dead arguments of other functions.  This pass also deletes dead return values in a similar way. This pass is often useful as a cleanup pass to run after aggressive interprocedural passes, which add possibly-dead arguments or return values."
-die,Dead Instruction Elimination,,,unknown,,DCEに近い、命令単位で不要なものを削除する　多くの場合は結果が未使用かつ副作用なしのもの、見つからず,
-div-rem-pairs,Hoist/decompose integer division and remainder,DivRemPairsPass,Scalar/DivRemPairs.cpp,function,,高速化: あり。整数のdiv/remを共通化・分解・ホイストして除算回数を減らし、CFG改善やコード生成を助ける。段階: 中（CFG/ループ整形後〜中盤の計算簡約）。,This pass hoists and/or decomposes integer division and remainder instructions to enable CFG improvements and better codegen.
-dse,Dead Store Elimination,DSEPass,Scalar/DeadStoreElimination.cpp,function,,高速化/サイズ縮小: あり。MemorySSAを用いて、後で上書きされる・読まれないstoreを検出して削除し、不要なメモリアクセスを減らす。段階: 後（MemorySSA等が整った後のクリーンアップ）。,"The code below implements dead store elimination using MemorySSA. It uses the following general approach: given a MemoryDef, walk upwards to find clobbering MemoryDefs that may be killed by the starting def. Then check that there are no uses that may read the location of the original MemoryDef in between both MemoryDefs. A bit more concretely: For all MemoryDefs StartDef: 1. Get the next dominating clobbering MemoryDef (MaybeDeadAccess) by walking    upwards. 2. Check that there are no reads between MaybeDeadAccess and the StartDef by    checking all uses starting at MaybeDeadAccess and walking until we see    StartDef. 3. For each found CurrentDef, check that:   1. There are no barrier instructions between CurrentDef and StartDef (like       throws or stores with ordering constraints).   2. StartDef is executed whenever CurrentDef is executed.   3. StartDef completely overwrites CurrentDef. 4. Erase CurrentDef from the function and MemorySSA."
-early-cse-memssa,Early CSE w/ MemorySSA,EarlyCSEPass,Scalar/EarlySCE.cpp,function,,高速化/サイズ縮小: あり。支配木を走査して明らかな共通部分式を早期に除去し、MemorySSAによりload等もより安全にCSEしやすくする。段階: 前（以後の最適化の前提作りとして早め）。,This pass performs a simple dominator tree walk that eliminates trivially redundant instructions.
-ee-instrument,Instrument function entry/exit with calls to e.g. mcount()(pre inlining),EntryExitInstrumenterPass,Utils/EntryExitInstrumenter.cpp,function,,対象外（計装）。関数の入口/出口にmcount等の呼び出しを挿入して実行プロファイルを収集する（実行時オーバーヘッド増）。段階: 前/後（pre/post inliningの2形態があるが、性能最適化ではない）。,"EntryExitInstrumenter pass - Instrument function entry/exit with calls to mcount(), @__cyg_profile_func_{enter,exit} and the like. There are two variants, intended to run pre- and post-inlining, respectively."
-elim-avail-extern,Eliminate Available Externally Globals,EliminateAvailableExternallyPass,IPO/ElimAvailExtern.cpp,module,,サイズ縮小: あり。available_externallyなグローバル定義を削除して宣言に落とし、最終バイナリに不要な定義を残さない。段階: 後（LTO/IPO後の整理）。,"This transform is designed to eliminate available external global definitions from the program, turning them into declarations."
-flattencfg,Flatten the CFG,FlattenCFGPass,Scalar/FlatternCFG.cpp,function,,高速化: 一般には対象外（最適化というより変形/用途限定）。CFGを平坦化して形を変える（場合により解析や分岐予測に不利になり得る）。段階: 後（目的がある場合の特殊変換）。,"The FlattenCFG pass flattens a function's CFG using the FlattenCFG utility function, iteratively flattening until no further changes are made."
-float2int,Float to int,Float2IntPass,Scalar/Float2Int.cpp,function,,高速化: あり（適用条件が厳しい）。損失なく可能な範囲で浮動小数演算を整数演算へ置換して高速化や単純化を狙う。段階: 中（他の簡約で条件が整った後に効きやすい）。,"This file provides the Float2Int pass, which aims to demote floating point operations to work on integers, where that is losslessly possible."
-forceattrs,Force set function attributes,ForceFunctionAttrPass,IPO/ForceFunctionAttrs.cpp,module,,対象外（デバッグ/制御用）。コマンドライン指定で関数属性を強制付与して挙動検証やデバッグを行うためのパス（誤ると不正確になり得る）。段階: 前（実験・デバッグ用途）。,Super simple passes to force specific function attrs from the commandline into the IR for debugging purposes.
-functionattrs,Deduce function attributes,InferFunctionAttrsPass,IPO/InferFunctionAttrs.cpp,module,,高速化/サイズ縮小: 間接的にあり。関数宣言の名前やシグネチャ等から暗黙の属性（例: 読み取りのみ/例外を投げない等）を推論するためのパス群のインターフェースで、後続最適化の判断材料を増やす。段階: 中（IPO中盤の前提情報付与）。,Interfaces for passes which infer implicit function attributes from the name and signature of function declarations.
-globaldce,Dead Global Elimination,GlobalDCEPass,IPO/GlobalDCE.cpp,module,,サイズ縮小: あり（高速化は間接的）。到達不能な内部グローバル（関数/変数等）を生存集合解析で削除し、モジュールを縮小する。段階: 後（IPO/インライン等の後に不要が確定してから）。,"This transform is designed to eliminate unreachable internal globals from the program.  It uses an aggressive algorithm, searching out globals that are known to be alive.  After it finds all of the globals which are needed, it deletes whatever is left over.  This allows it to delete recursive chunks of the program which are unreachable."
-globalopt,Global Variable Optimizer,GlobalOptPass,IPO/GlobalOpt.cpp,module,,高速化/サイズ縮小: あり。アドレスが取られない単純なグローバルを解析し、constant化・削除・簡約などでグローバルアクセスを最適化する。段階: 中（IPO中盤のグローバル最適化）。,"This pass transforms simple global variables that never have their address taken.  If obviously true, it marks read/write globals as constant, deletes variables only stored to, etc."
-globalsplit,Global splitter,GlobalSplitPass,IPO/GlobalSplit.cpp,module,,高速化/サイズ縮小: あり（主に間接的）。inrange付きGEP等を利用して大きなグローバルを分割し、不要部分の除去や解析精度向上・最適化機会拡大を狙う。段階: 中（IPO中盤、後続の最適化を効かせるため）。,This pass uses inrange annotations on GEP indices to split globals where beneficial. Clang currently attaches these annotations to references to virtual table globals under the Itanium ABI for the benefit of the whole-program virtual call optimization and control flow integrity passes.
-guard-widening,Widen guards,GuardWideningPass,Scalar/GuardWidening.cpp,function/loop,,高速化: あり（deopt/guard前提）。複数のguardを（失敗しやすくしても合法な範囲で）統合・ホイストしてチェック回数を減らす。段階: 中（guardが生成された後、lower前）。,Guard widening is an optimization over the @llvm.experimental.guard intrinsic that (optimistically) combines multiple guards into one to have fewer checks at runtime.
-gvn,Global Value Numbering,GVNPass,Scalar/GVN.cpp,function,,高速化/サイズ縮小: あり。Global Value Numberingで同一計算を特定して冗長命令や冗長loadを除去（簡易PREやdead load eliminationも含む）。段階: 中（主要な冗長除去として中盤）。,This file provides the interface for LLVM's Global Value Numbering pass which eliminates fully redundant instructions. It also does somewhat Ad-Hoc PRE and dead load elimination.
-gvn-hoist,Early GVN Hoisting of Expressions,GVNHoistPass,Scalar/GVNHoist.cpp,function,,高速化/サイズ縮小: あり。GVNで同一と判断できる式を分岐の上へホイストして重複計算を減らし、後続の簡約も促進する。段階: 中（CSE/簡約がある程度進んだ後に効きやすい）。,This file provides the interface for LLVM's Global Value Numbering pass which eliminates fully redundant instructions. It also does somewhat Ad-Hoc PRE and dead load elimination.
-hotcoldsplit,Hot Cold Splitting,HotColdSplittingPass,IPO/HotColdSplitting.cpp,module,,高速化: あり（I-cache局所性）/ サイズ: 場合により増減。coldブロック群を別関数へ分離してホット経路の局所性を改善する。段階: 後（プロファイル/ブロック頻度が利用でき、CFGが概ね固まった後）。,"The goal of hot/cold splitting is to improve the memory locality of code. The splitting pass does this by identifying cold blocks and moving them into separate functions. When the splitting pass finds a cold block (referred to as ""the sink""), it grows a maximal cold region around that block. The maximal region contains all blocks (post-)dominated by the sink [*]. In theory, these blocks are as cold as the sink. Once a region is found, it's split out of the original function provided it's profitable to do so. [*] In practice, there is some added complexity because some blocks are not safe to extract."
-indvars,Induction Variable Simplification,IndVarSimplifyPass,Scalar/IndVarSimplify.cpp,loop,,高速化: あり（ループ最適化の土台）/ サイズ: 間接的。帰納変数と派生計算を正規化・単純化し、終了条件の正規化やループ外使用の整理で後続のunroll/vectorize/LICM等をやりやすくする。段階: 中（ループ最適化前の基盤整備として中盤）。,"This transformation analyzes and transforms the induction variables (and computations derived from them) into simpler forms suitable for subsequent analysis and transformation. If the trip count of a loop is computable, this pass also makes the following changes:   1. The exit condition for the loop is canonicalized to compare the      induction value against the exit value.  This turns loops like:        'for (i = 7; i*i < 1000; ++i)' into 'for (i = 0; i != 25; ++i)'   2. Any use outside of the loop of an expression derived from the indvar      is changed to compute the derived value outside of the loop, eliminating      the dependence on the exit value of the induction variable.  If the only      purpose of the loop is to compute the exit value of some derived      expression, this transformation will make the loop dead."
-infer-address-spaces,Infer address spaces,InferAddressSpacesPass,Scalar/InferAddressSpaces.cpp,function,,高速化: あり（主にGPU）。ポインタが属するアドレス空間（shared/global等）をデータフローで推論して具体化し、より速いロード/ストア命令選択を可能にする。段階: 中（ターゲット依存の最適化として中盤、アドレス計算がある程度見える段階）。,"CUDA C/C++ includes memory space designation as variable type qualifers (such as __global__ and __shared__). Knowing the space of a memory access allows CUDA compilers to emit faster PTX loads and stores. For example, a load from shared memory can be translated to `ld.shared` which is roughly 10% faster than a generic `ld` on an NVIDIA Tesla K40c. Unfortunately, type qualifiers only apply to variable declarations, so CUDA compilers must infer the memory space of an address expression from type-qualified variables. LLVM IR uses non-zero (so-called) specific address spaces to represent memory spaces (e.g. addrspace(3) means shared memory). The Clang frontend places only type-qualified variables in specific address spaces, and then conservatively `addrspacecast`s each type-qualified variable to addrspace(0) (so-called the generic address space) for other instructions to use. For example, the Clang translates the following CUDA code   __shared__ float a[10];   float v = a[i]; to   %0 = addrspacecast [10 x float] addrspace(3)* @a to [10 x float]*   %1 = gep [10 x float], [10 x float]* %0, i64 0, i64 %i   %v = load float, float* %1 ; emits ld.f32 @a is in addrspace(3) since it's type-qualified, but its use from %1 is redirected to %0 (the generic version of @a). The optimization implemented in this file propagates specific address spaces from type-qualified variable declarations to its users. For example, it optimizes the above IR to   %1 = gep [10 x float] addrspace(3)* @a, i64 0, i64 %i   %v = load float addrspace(3)* %1 ; emits ld.shared.f32 propagating the addrspace(3) from @a to %1. As the result, the NVPTX codegen is able to emit ld.shared.f32 for %v. Address space inference works in two steps. First, it uses a data-flow analysis to infer as many generic pointers as possible to point to only one specific address space. In the above example, it can prove that %1 only points to addrspace(3). This algorithm was published in   CUDA: Compiling and optimizing for a GPU platform   Chakrabarti, Grover, Aarts, Kong, Kudlur, Lin, Marathe, Murphy, Wang   ICCS 2012 Then, address space inference replaces all refinable generic pointers with equivalent specific pointers. The major challenge of implementing this optimization is handling PHINodes, which may create loops in the data flow graph. This brings two complications. First, the data flow analysis in Step 1 needs to be circular. For example,     %generic.input = addrspacecast float addrspace(3)* %input to float*   loop:     %y = phi [ %generic.input, %y2 ]     %y2 = getelementptr %y, 1     %v = load %y2     br ..., label %loop, ... proving %y specific requires proving both %generic.input and %y2 specific, but proving %y2 specific circles back to %y. To address this complication, the data flow analysis operates on a lattice:   uninitialized > specific address spaces > generic. All address expressions (our implementation only considers phi, bitcast, addrspacecast, and getelementptr) start with the uninitialized address space. The monotone transfer function moves the address space of a pointer down a lattice path from uninitialized to specific and then to generic. A join operation of two different specific address spaces pushes the expression down to the generic address space. The analysis completes once it reaches a fixed point. Second, IR rewriting in Step 2 also needs to be circular. For example, converting %y to addrspace(3) requires the compiler to know the converted %y2, but converting %y2 needs the converted %y. To address this complication, we break these cycles using ""poison"" placeholders. When converting an instruction `I` to a new address space, if its operand `Op` is not converted yet, we let `I` temporarily use `poison` and fix all the uses later. For instance, our algorithm first converts %y to   %y' = phi float addrspace(3)* [ %input, poison ] Then, it converts %y2 to   %y2' = getelementptr %y', 1 Finally, it fixes the poison in %y' so that   %y' = phi float addrspace(3)* [ %input, %y2' ]"
-inferattrs,Infer set function attributes,InferFunctionAttrsPass,IPO/InferFunctionAttrs.cpp,module,,高速化/サイズ縮小: 間接的にあり。手続き間解析に基づいて関数属性（nounwind/readonly/nocapture等）を推論して付与し、AAやDCEやインラインなど後続最適化の判断材料を増やす。段階: 中（IPO中盤の前提情報付与）。,Provides passes for computing function attributes based on interprocedural analyses.
-inject-tli-mappings,Inject TLI Mappings,InjectTLIMappings,Utils/InjectTLIMappings.cpp,function,,高速化: 間接的にあり。TargetLibraryInfoのスカラー→ベクトル対応（VFABI）などのマッピングを属性として注入し、libcallのベクトル化/置換など後続最適化を可能にする。段階: 前（ライブラリ情報を早めに与えて以後の変換で活用）。,Populates the VFABI attribute with the scalar-to-vector mappings from the TargetLibraryInfo.
-inline,Function Integration/Inlining,InlinerPass,IPO/Inliner.cpp,cgscc,,高速化: あり（サイズ増の可能性）。呼び出しを展開して呼び出しオーバーヘッド削減と、定数伝搬・DCE・ループ最適化などの機会を増やす。段階: 中（主要最適化の中心で、前半〜中盤に配置されやすい）。," The inliner pass for the new pass manager. This pass wires together the inlining utilities and the inline cost analysis into a CGSCC pass. It considers every call in every function in the SCC and tries to inline if profitable. It can be tuned with a number of parameters to control what cost model is used and what tradeoffs are made when making the decision. It should be noted that the legacy inliners do considerably more than this inliner pass does. They provide logic for manually merging allocas, and doing considerable DCE including the DCE of dead functions. This pass makes every attempt to be simpler. DCE of functions requires complex reasoning about comdat groups, etc. Instead, it is expected that other more focused passes be composed to achieve the same end result."
-insert-gcov-profiling,Insert instrumentation for GCOV profiling,GCOVProfilerPass,Instrumentation/GCOVProfiling.cpp,module,,対象外（計装）。GCOV用のカバレッジ/プロファイル計測コードを挿入する（実行時オーバーヘッド増）。段階: 後（計測用に挿入する工程で、性能最適化ではない）。,This file provides the interface for the GCOV style profiler  pass.
-instcombine,Combine redundant instructions,InstCombinePass,InstCombine/InstructionCombining.cpp,function,,高速化/サイズ縮小: あり。代数的簡約・定数畳み込み・比較/ビット演算の正規化などで命令列を再構成し、より少ない単純命令に統合する主要パス。段階: 中（中心的な式簡約として中盤、他パスの合間に繰り返し入る）。,"This file provides the primary interface to the instcombine pass. This pass/ is suitable for use in the new pass manager. For a pass that works with the/ legacy pass manager, use createInstructionCombiningPass(). InstructionCombining - Combine instructions to form fewer, simple instructions.  This pass does not modify the CFG.  This pass is where algebraic simplification happens. This pass combines things like:    %Y = add i32 %X, 1    %Z = add i32 %Y, 1 into:    %Z = add i32 %X, 2 This is a simple worklist driven algorithm. This pass guarantees that the following canonicalizations are performed on the program:    1. If a binary operator has a constant operand, it is moved to the RHS    2. Bitwise operators with constant operands are always grouped so that       shifts are performed first, then or's, then and's, then xor's.    3. Compare instructions are converted from <,>,<=,>= to ==,!= if possible    4. All cmp instructions on boolean values are replaced with logical ops    5. add X, X is represented as (X*2) => (X << 1)    6. Multiplies with a power-of-two constant argument are transformed into       shifts.   ... etc."
-instnamer,Assign names to anonymous instructions,InstructionNamerPass,Utils/InstructionNamer.cpp,function,,対象外（可読性/デバッグ補助）。匿名命令に安定した名前を付け、IR差分や解析をしやすくする（性能最適化ではない）。段階: 前（開発・解析用途で任意）。,"This is a little utility pass that gives instructions names, this is mostly useful when diffing the effect of an optimization because deleting an unnamed instruction can change all other instruction numbering, making the diff very noisy."
-instsimplify,Remove redundant instructions,InstSimplifyPass,Scalar/InstSimplifyPass.cpp,function,,高速化/サイズ縮小: あり。軽量な命令簡約（恒等式・冗長演算・簡単な定数畳み込み等）を広く適用してIRを単純化し、後続最適化を進めやすくする。段階: 前〜中（前処理/反復的クリーンアップとして早めに効く）。,Defines passes for running instruction simplification across chunks of IR.
-ipconstprop,Interprocedural constant propagation,,,unknown,,ある関数の引数が常に定数で呼ばれているのを見つけて呼び先で定数として扱う　見つからず,
-ipsccp,Interprocedural Sparse Conditional Constant Propagation,IPSCCPPass,IPO/SCCP.cpp,module,,高速化/サイズ縮小: あり。手続き間SCCPで「値は定数/BBは到達不能」を仮定して解析し、定数化・分岐の単純化・到達不能の削除を関数間にまたがって実施する。段階: 中（IPO中盤、インラインや他のIPO最適化と相性が良い）。,"This pass implements  interprocedural sparse conditional constant propagation and merging. Specifically, this:   * Assumes values are constant unless proven otherwise   * Assumes BasicBlocks are dead unless proven otherwise   * Proves values to be constant, and replaces them with constants   * Proves conditional branches to be unconditional"
